epoch,step,token_seen,train_loss_epoch,train_loss_step,val_loss
0,4,,,,11.565286636352539
0,4,,11.94704532623291,,
1,9,,,,10.75505542755127
1,9,,10.950767517089844,,
2,14,,,,9.390560150146484
2,14,,9.621235847473145,,
3,19,,,,7.983961582183838
3,19,,7.9549641609191895,,
4,24,,,,7.231024265289307
4,24,,6.653721332550049,,
5,29,,,,6.901945114135742
5,29,,5.852624416351318,,
6,34,,,,6.783194541931152
6,34,,5.255092620849609,,
7,39,,,,6.797859191894531
7,39,,4.708027362823486,,
8,44,,,,6.675418376922607
8,44,,4.244878768920898,,
9,49,43520.0,,3.7482502460479736,
9,49,,,,6.671789169311523
9,49,,3.831850051879883,,
10,54,,,,6.655708312988281
10,54,,3.431359052658081,,
11,59,,,,6.697762489318848
11,59,,3.0494587421417236,,
12,64,,,,6.747432231903076
12,64,,2.68858003616333,,
13,69,,,,6.832381725311279
13,69,,2.3583056926727295,,
14,74,,,,6.896975994110107
14,74,,2.055582284927368,,
15,79,,,,7.057095527648926
15,79,,1.807408332824707,,
16,84,,,,7.104755401611328
16,84,,1.5951200723648071,,
17,89,,,,7.206579208374023
17,89,,1.4030234813690186,,
18,94,,,,7.365712642669678
18,94,,1.2237236499786377,,
